Bayfield,Chicago,Eau Claire,Green Bay,Hayward,La Crosse,Madison,Milwaukee,Minneapolis,Prarie du Chein,Rhinelander,Rockford,Sheboygan,Sturgeon Bay,Superior,Wausau,Wisconsin Dells
0,453,184,265,77,268,312,359,214,327,138,374,331,312,60,178,259
453,0,314,204,414,273,146,93,395,233,313,82,145,233,463,275,190
184,314,0,193,111,87,176,241,82,146,149,238,231,236,152,100,124
265,204,193,0,261,196,132,114,268,232,127,176,62,43,310,93,132
77,414,111,261,0,191,277,341,137,250,139,338,318,304,70,164,220
268,273,87,196,191,0,129,204,153,59,201,192,194,239,234,144,87
312,146,176,132,277,129,0,77,258,102,197,65,109,175,325,140,53
359,93,241,114,341,204,77,0,322,179,227,88,52,141,389,181,116
214,395,82,268,137,153,258,322,0,212,215,319,312,311,162,175,206
327,233,146,232,250,59,102,179,212,0,251,151,211,275,295,193,102
138,313,149,127,139,201,197,227,215,251,0,259,191,170,183,58,159
374,82,238,176,338,192,65,88,319,151,259,0,140,218,387,201,114
331,145,231,62,318,194,109,52,312,211,191,140,0,89,372,149,115
312,233,236,43,304,239,175,141,311,275,170,218,89,0,353,136,175
60,463,152,310,70,234,325,389,162,295,183,387,372,353,0,223,273
178,275,100,93,164,144,140,181,175,193,58,201,149,136,223,0,103
259,190,124,132,220,87,53,116,206,102,159,114,115,175,273,103,0
